Time,price
2007/7/9,660.4
2007/7/10,663.3
2007/7/11,660.65
2007/7/12,666.8
2007/7/13,666.9
2007/7/14,666.9
2007/7/15,666.9
2007/7/16,664.9
2007/7/17,664.9
2007/7/18,673
2007/7/19,677.5
2007/7/20,683.4
2007/7/21,683.4
2007/7/22,683.4
2007/7/23,681.6
2007/7/24,681
2007/7/25,674.9
2007/7/26,662.9
2007/7/27,661.2
2007/7/28,661.2
2007/7/29,661.2
2007/7/30,665
2007/7/31,664.3
2007/8/1,666.9
2007/8/2,665.55
2007/8/3,673
2007/8/4,673
2007/8/5,673
2007/8/6,672.01
2007/8/7,672.4
2007/8/8,674.8
2007/8/9,662.1
2007/8/10,672.8
2007/8/11,672.8
2007/8/12,672.8
2007/8/13,669.5
2007/8/14,669.2
2007/8/15,667.6
2007/8/16,652.01
2007/8/17,657.8
2007/8/18,657.8
2007/8/19,657.8
2007/8/20,657.11
2007/8/21,657.3
2007/8/22,660.8
2007/8/23,660.38
2007/8/24,668.2
2007/8/25,668.2
2007/8/26,668.2
2007/8/27,667.6
2007/8/28,662.5
2007/8/29,667.6
2007/8/30,665.3
2007/8/31,673.4
2007/9/1,673.4
2007/9/2,673.4
2007/9/3,672.52
2007/9/4,681.65
2007/9/5,681.8
2007/9/6,695.41
2007/9/7,701
2007/9/8,701
2007/9/9,701
2007/9/10,703.1
2007/9/11,712.5
2007/9/12,711.6
2007/9/13,708.3
2007/9/14,707.6
2007/9/15,707.6
2007/9/16,707.6
2007/9/17,717.9
2007/9/18,723.5
2007/9/19,721.4
2007/9/20,733.26
2007/9/21,731.5
2007/9/22,731.5
2007/9/23,731.5
2007/9/24,730.6
2007/9/25,731.7
2007/9/26,728.8
2007/9/27,734.43
2007/9/28,743.6
2007/9/29,743.6
2007/9/30,743.6
2007/10/1,747.2
2007/10/2,731.6
2007/10/3,727.9
2007/10/4,738
2007/10/5,742.7
2007/10/6,742.7
2007/10/7,742.7
2007/10/8,733.3
2007/10/9,737.9
2007/10/10,741.1
2007/10/11,747.88
2007/10/12,749.1
2007/10/13,749.1
2007/10/14,749.1
2007/10/15,759.4
2007/10/16,760.5
2007/10/17,754.82
2007/10/18,768.2
2007/10/19,765.2
2007/10/20,765.2
2007/10/21,765.2
2007/10/22,754.2
2007/10/23,759.8
2007/10/24,763.95
2007/10/25,769.3
2007/10/26,785.2
2007/10/27,785.2
2007/10/28,785.2
2007/10/29,791.8
2007/10/30,782.1
2007/10/31,796.59
2007/11/1,787.3
2007/11/2,807
2007/11/3,807
2007/11/4,807
2007/11/5,806.5
2007/11/6,825
2007/11/7,831.09
2007/11/8,833.59
2007/11/9,832
2007/11/10,832
2007/11/11,832
2007/11/12,793.5
2007/11/13,802
2007/11/14,811.95
2007/11/15,788.45
2007/11/16,786.3
2007/11/17,786.3
2007/11/18,786.3
2007/11/19,781.75
2007/11/20,803.2
2007/11/21,800.32
2007/11/22,804.53
2007/11/23,823.8
2007/11/24,823.8
2007/11/25,823.8
2007/11/26,824.6
2007/11/27,812.59
2007/11/28,804.83
2007/11/29,793.07
2007/11/30,783.75
2007/12/1,783.75
2007/12/2,783.75
2007/12/3,794.3
2007/12/4,801.7
2007/12/5,795.15
2007/12/6,802.42
2007/12/7,794.8
2007/12/8,794.8
2007/12/9,794.8
2007/12/10,808.53
2007/12/11,796.98
2007/12/12,813.48
2007/12/13,797.62
2007/12/14,794.49
2007/12/15,794.49
2007/12/16,794.49
2007/12/17,793.35
2007/12/18,802.88
2007/12/19,802.19
2007/12/20,796.38
2007/12/21,811.72
2007/12/22,811.72
2007/12/23,811.72
2007/12/24,811.8
2007/12/25,807
2007/12/26,824.5
2007/12/27,825.58
2007/12/28,840.5
2007/12/29,840.5
2007/12/30,840.5
2007/12/31,833.92
2008/1/1,833.7
2008/1/2,857.55
2008/1/3,864.93
2008/1/4,859.6
2008/1/5,859.6
2008/1/6,859.6
2008/1/7,858.16
2008/1/8,878.16
2008/1/9,878.8
2008/1/10,893.3
2008/1/11,895.4
2008/1/12,895.4
2008/1/13,895.4
2008/1/14,904.13
2008/1/15,888.1
2008/1/16,877.03
2008/1/17,877.76
2008/1/18,883.17
2008/1/19,883.17
2008/1/20,883.17
2008/1/21,865
2008/1/22,892.34
2008/1/23,890.32
2008/1/24,912.85
2008/1/25,913.95
2008/1/26,913.95
2008/1/27,913.95
2008/1/28,928.97
2008/1/29,923.76
2008/1/30,929.4
2008/1/31,925.99
2008/2/1,905.48
2008/2/2,905.48
2008/2/3,905.48
2008/2/4,903.58
2008/2/5,888.17
2008/2/6,900.6
2008/2/7,910.51
2008/2/8,922.99
2008/2/9,922.99
2008/2/10,922.99
2008/2/11,923.5
2008/2/12,906.39
2008/2/13,906.6
2008/2/14,908.2
2008/2/15,902.5
2008/2/16,902.5
2008/2/17,902.5
2008/2/18,905.2
2008/2/19,927.8
2008/2/20,944.1
2008/2/21,946.1
2008/2/22,945.2
2008/2/23,945.2
2008/2/24,945.2
2008/2/25,939.6
2008/2/26,948.15
2008/2/27,957.84
2008/2/28,970.74
2008/2/29,974.17
2008/3/1,974.17
2008/3/2,974.17
2008/3/3,983.7
2008/3/4,964.01
2008/3/5,989.8
2008/3/6,978.99
2008/3/7,973.2
2008/3/8,973.2
2008/3/9,973.2
2008/3/10,972.84
2008/3/11,973.3
2008/3/12,982.93
2008/3/13,994.83
2008/3/14,1002.95
2008/3/15,1002.95
2008/3/16,1002.95
2008/3/17,1002.7
2008/3/18,982.24
2008/3/19,944.2
2008/3/20,910.2
2008/3/21,919.5
2008/3/22,919.5
2008/3/23,919.5
2008/3/24,915.3
2008/3/25,938.78
2008/3/26,954.17
2008/3/27,947.2
2008/3/28,931.05
2008/3/29,931.05
2008/3/30,931.05
2008/3/31,916.88
2008/4/1,882.7
2008/4/2,904.35
2008/4/3,902.9
2008/4/4,913.79
2008/4/5,913.79
2008/4/6,913.79
2008/4/7,920
2008/4/8,914.9
2008/4/9,934
2008/4/10,928.99
2008/4/11,925.3
2008/4/12,925.3
2008/4/13,925.3
2008/4/14,924.45
2008/4/15,927.91
2008/4/16,944.59
2008/4/17,938.8
2008/4/18,917.09
2008/4/19,917.09
2008/4/20,917.09
